,carName,year,sellingPrice,presentPrice,kmsDriven,fuelType,sellerType,transmission,owner
0,ritz,2014,3.35,5.59,27000,Petrol,Dealer,Manual,0
1,sx4,2013,4.75,9.54,43000,Diesel,Dealer,Manual,0
2,ciaz,2017,7.25,9.85,6900,Petrol,Dealer,Manual,0
3,swift,2014,4.6,6.87,42450,Diesel,Dealer,Manual,0
4,ciaz,2015,6.75,8.12,18796,Petrol,Dealer,Manual,0
5,ciaz,2016,8.75,8.89,20273,Diesel,Dealer,Manual,0
6,ciaz,2015,7.45,8.92,42367,Diesel,Dealer,Manual,0
7,ciaz,2015,6.85,10.38,51000,Diesel,Dealer,Manual,0
8,ciaz,2015,7.5,9.94,15000,Petrol,Dealer,Automatic,0
9,ertiga,2015,6.1,7.71,26000,Petrol,Dealer,Manual,0
10,dzire,2009,2.25,7.21,77427,Petrol,Dealer,Manual,0
11,ertiga,2016,7.75,10.79,43000,Diesel,Dealer,Manual,0
12,ertiga,2015,7.25,10.79,41678,Diesel,Dealer,Manual,0
13,ertiga,2016,7.75,10.79,43000,Diesel,Dealer,Manual,0
14,sx4,2010,2.65,7.98,41442,Petrol,Dealer,Manual,0
15,ignis,2017,4.9,5.71,2400,Petrol,Dealer,Manual,0
16,sx4,2011,4.4,8.01,50000,Petrol,Dealer,Automatic,0
17,swift,2011,3.0,4.99,20000,Petrol,Dealer,Manual,0
18,swift,2013,4.15,5.87,55138,Petrol,Dealer,Manual,0
19,swift,2017,6.0,6.49,16200,Petrol,Individual,Manual,0
20,ciaz,2015,7.45,10.38,45000,Diesel,Dealer,Manual,0
21,ritz,2012,3.1,5.98,51439,Diesel,Dealer,Manual,0
22,ritz,2011,2.35,4.89,54200,Petrol,Dealer,Manual,0
23,swift,2014,4.95,7.49,39000,Diesel,Dealer,Manual,0
24,ertiga,2014,6.0,9.95,45000,Diesel,Dealer,Manual,0
25,dzire,2014,5.5,8.06,45000,Diesel,Dealer,Manual,0
26,sx4,2011,2.95,7.74,49998,CNG,Dealer,Manual,0
27,dzire,2015,4.65,7.2,48767,Petrol,Dealer,Manual,0
28,sx4,2003,2.25,7.98,62000,Petrol,Dealer,Manual,0
29,baleno,2016,5.85,7.87,24524,Petrol,Dealer,Automatic,0
30,sx4,2008,1.95,7.15,58000,Petrol,Dealer,Manual,0
31,dzire,2014,5.5,8.06,45780,Diesel,Dealer,Manual,0
32,omni,2012,1.25,2.69,50000,Petrol,Dealer,Manual,0
33,ciaz,2014,7.5,12.04,15000,Petrol,Dealer,Automatic,0
34,ritz,2013,2.65,4.89,64532,Petrol,Dealer,Manual,0
35,ertiga,2015,5.8,7.71,25870,Petrol,Dealer,Manual,0
36,ciaz,2017,7.75,9.29,37000,Petrol,Dealer,Automatic,0
37,fortuner,2012,14.9,30.61,104707,Diesel,Dealer,Automatic,0
38,fortuner,2015,23.0,30.61,40000,Diesel,Dealer,Automatic,0
