,Unnamed: 0,year,sellingPrice,presentPrice,kmsDriven,owner,names,ages,locations_Arusha,locations_Kampala,locations_Kisumu,locations_Lamu,locations_Mwanza,locations_Nairobi,fuelType_CNG,fuelType_Diesel,fuelType_Petrol,carName_amaze,carName_baleno,carName_brio,carName_camry,carName_ciaz,carName_corolla,carName_creta,carName_dzire,carName_elantra,carName_eon,carName_ertiga,carName_fortuner,carName_ignis,carName_innova,carName_omni,carName_ritz,carName_swift,carName_sx4,carName_verna,carName_xcent,sellerType_Dealer,sellerType_Individual,transmission_Automatic,transmission_Manual
0,0,2014,-0.7540269168490458,-0.7589792157380845,-0.6144780353101816,0,Frank,-1.2738026748880813,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
1,1,2013,-0.4802455724769235,-0.22616198001990864,0.12740504348763287,0,Rachel,-0.13177269050566315,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
2,2,2017,0.008649685330437813,-0.18434594379898844,-1.4120023450178323,0,Peter,1.2957647899723594,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
3,3,2014,-0.5095792879453652,-0.586319453277511,0.10190281265395801,0,Alice,-0.4172801866012677,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
4,4,2015,-0.08912936623103444,-0.4177064039996073,-0.9948785839637609,0,Lily,0.4392423016855459,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
5,5,2016,0.3019868400148546,-0.31384076564441843,-0.9263935022522377,0,Tom,-0.7027876826968722,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
6,6,2015,0.04776130595502675,-0.3097940524617488,0.09805429418269435,0,Tom,-1.2738026748880813,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
7,7,2015,-0.06957355591874007,-0.11285401090515709,0.4983465828865401,0,Frank,-1.2738026748880813,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
8,8,2015,0.057539211111173945,-0.1722058042509794,-1.1708903444085426,0,Tom,0.15373480558994138,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
9,9,2015,-0.21624213326094846,-0.4730114841627596,-0.660845727735045,0,Lily,1.010257293876755,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
10,10,2009,-0.9691408302842848,-0.5404567038739212,1.7237055905984053,0,Harry,1.2957647899723594,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
11,11,2016,0.10642873689191007,-0.05754893074200488,0.12740504348763287,0,Frank,0.7247497977811505,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
12,12,2015,0.008649685330437813,-0.05754893074200488,0.06610695410196346,0,Mark,-0.4172801866012677,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
13,13,2016,0.10642873689191007,-0.05754893074200488,0.12740504348763287,0,Charlie,-0.13177269050566315,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
14,14,2010,-0.8909175890351069,-0.4365910655187324,0.05516417868969569,0,Mark,1.581272286067964,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
15,15,2017,-0.45091185700848174,-0.7427923630074057,-1.4120023450178323,0,Harry,-0.9882951787924767,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
16,16,2011,-0.548690908569954,-0.43254435233606275,0.4519788904616767,0,Harry,-0.9882951787924767,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
17,17,2011,-0.8224722529420764,-0.8399134793914782,-0.9390518822842254,0,Oliver,0.7247497977811505,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
18,18,2013,-0.5975804343506901,-0.7212098926998339,0.6902160941406249,0,Ivan,-1.2738026748880813,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
19,19,2017,-0.23579794357324282,-0.6375778202579937,-1.1152491134987064,0,Quinn,0.4392423016855459,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
20,20,2015,0.04776130595502675,-0.11285401090515709,0.2201404283373597,0,Charlie,1.010257293876755,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
21,21,2012,-0.802916442629782,-0.7063719443633784,0.5187019998610551,0,Jack,-0.9882951787924767,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
22,22,2011,-0.9495850199719904,-0.8534025233337106,0.6467231986461031,0,Harry,-0.9882951787924767,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
